id	is_use	taxonomy	term	title	description	url	logo	icon
1	1	科研办公	生物信息	NCBI	National Center for Biotechnology Information.	https://www.ncbi.nlm.nih.gov/	ncbi.jpg	fas fa-flask fa-lg
2	1	科研办公	生物信息	Bioconda	Bioconda :: Anaconda.org.	https://anaconda.org/bioconda/	bioconda.jpg	fas fa-flask fa-lg
3	1	科研办公	生物信息	CPAN	Search the CPAN.	https://metacpan.org/	cpan.jpg	fas fa-flask fa-lg
4	1	科研办公	生物信息	Gitter Galaxy	Galaxy Gitter Community.	https://gitter.im/galaxyproject	gitter.jpg	fas fa-flask fa-lg
5	1	科研办公	生物信息	R Project	https://www.r-project.org	https://www.r-project.org/	r-project.jpg	fas fa-flask fa-lg
6	1	科研办公	生物信息	Bioconductor	http://www.bioconductor.org	http://www.bioconductor.org/	bioconductor.jpg	fas fa-flask fa-lg
7	1	科研办公	云服务器	阿里云	上云就上阿里云。	https://www.aliyun.com/	阿里云.jpg	fas fa-flask fa-lg
8	1	科研办公	云服务器	腾讯云	产业智变，云启未来。	https://cloud.tencent.com/	腾讯云.jpg	fas fa-flask fa-lg
9	1	科研办公	云服务器	华为云	提供云计算服务+智能，见未来-华为云。	https://www.huaweicloud.com/	华为云.png	fas fa-flask fa-lg
10	1	科研办公	云服务器	云筏科技	云筏 - 科研云。	https://my.cloudraft.cn/		fas fa-flask fa-lg
11	1	科研办公	云服务器	极云普惠云电脑	云电脑-云游戏-手机变电脑软件。	https://www.ji-cloud.cn/	极云普惠云电脑.png	fas fa-flask fa-lg
12	1	科研办公	云服务器	青椒云	云桌面,一站式云电脑服务平台。	https://www.qingjiaocloud.com/	青椒云.jpg	fas fa-flask fa-lg
13	1	科研办公	办公学习	有道词典	免费，即时的多语种在线翻译。	https://www.youdao.com/	有道词典.png	fas fa-flask fa-lg
14	1	科研办公	办公学习	有道翻译	有道翻译。	http://fanyi.youdao.com/	有道词典.png	fas fa-flask fa-lg
15	1	科研办公	办公学习	谷歌翻译	谷歌翻译。	https://translate.google.cn/	谷歌翻译.jpg	fas fa-flask fa-lg
16	1	科研办公	办公学习	ProcessOn	免费在线作图、实时协作。	https://www.processon.com/	ProcessOn.png	fas fa-flask fa-lg
17	1	悠闲娱乐	影音视频	腾讯视频	腾讯视频，海量视频在线观看。	http://v.qq.com/	腾讯视频.png	fas fa-film fa-lg
18	1	悠闲娱乐	影音视频	优酷	优酷 - 这个世界很酷。	http://www.youku.com/	优酷.png	fas fa-film fa-lg
19	1	悠闲娱乐	影音视频	爱奇艺	爱奇艺在线视频。	https://www.iqiyi.com/	爱奇艺.png	fas fa-film fa-lg
20	1	悠闲娱乐	影音视频	哔哩哔哩	Bilibili 视频弹幕网站。	https://www.bilibili.com/	哔哩哔哩.png	fas fa-film fa-lg
21	1	悠闲娱乐	影音视频	QQ 音乐	QQ 音乐，在线听歌。	https://y.qq.com/	QQ音乐.jpg	fas fa-film fa-lg
22	1	悠闲娱乐	影音视频	网易云音乐	163 网易云音乐。	https://music.163.com/	网易云音乐.jpg	fas fa-film fa-lg
23	1	悠闲娱乐	影音视频	电影天堂（DYTT8）	电影天堂（DYTT8），高清电影下载。	https://www.dytt8.net/index.htm	电影天堂.png	fas fa-film fa-lg
24	1	悠闲娱乐	影音视频	电影天堂（DYGOD）	电影天堂（DYGOD），高清电影下载。	https://www.dygod.net/	电影天堂.png	fas fa-film fa-lg
25	1	悠闲娱乐	游戏竞技	百度贴吧	百度贴吧。	ttps://tieba.baidu.com/index.html	百度贴吧.jpg	fas fa-film fa-lg
26	1	悠闲娱乐	游戏竞技	台服战地	台服 AVA 战地之王。	https://ava.mangot5.com/ava/index	战地之王.png	fas fa-film fa-lg
27	1	素材资源	网盘资源	百度网盘	https://pan.baidu.com/.	http://pan.baidu.com/	百度网盘.jpg	far fa-folder-open fa-lg
